Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
Premium,15,27-02-2023,22-06-2023,United States,30,Female,Smart TV,1 Month
Basic,10,29-08-2022,28-06-2023,Canada,37,Male,Tablet,1 Month
Standard,12,13-01-2022,27-06-2023,United Kingdom,41,Female,Laptop,1 Month
Standard,12,30-06-2022,26-06-2023,Australia,29,Male,Smartphone,1 Month
Basic,10,20-04-2023,28-06-2023,Germany,39,Female,Smart TV,1 Month
Premium,15,15-03-2022,27-06-2023,France,36,Male,Tablet,1 Month
Basic,10,01-10-2022,25-06-2023,Brazil,46,Female,Laptop,1 Month
Standard,12,08-10-2021,24-06-2023,Mexico,34,Male,Smartphone,1 Month
Premium,15,03-12-2022,23-06-2023,Spain,27,Female,Smart TV,1 Month
Basic,10,14-06-2023,22-06-2023,Italy,42,Male,Tablet,1 Month
Premium,15,08-02-2023,22-06-2023,United States,28,Female,Laptop,1 Month
Basic,10,03-08-2022,28-06-2023,Canada,37,Male,Smartphone,1 Month
Standard,12,23-02-2022,27-06-2023,United Kingdom,41,Female,Smart TV,1 Month
Standard,12,20-06-2022,26-06-2023,Australia,29,Male,Tablet,1 Month
Basic,10,29-03-2023,28-06-2023,Germany,40,Female,Laptop,1 Month
Premium,15,30-01-2022,27-06-2023,France,29,Male,Smartphone,1 Month
Basic,10,18-09-2022,25-06-2023,Brazil,47,Female,Smart TV,1 Month
Standard,12,09-11-2021,24-06-2023,Mexico,33,Male,Tablet,1 Month
Premium,15,23-12-2022,23-06-2023,Spain,36,Female,Laptop,1 Month
Basic,10,08-05-2023,22-06-2023,Italy,41,Male,Smartphone,1 Month
Basic,10,26-01-2022,20-06-2023,United States,27,Male,Smartphone,1 Month
Basic,10,11-10-2022,22-06-2023,Canada,31,Female,Smartphone,1 Month
Standard,12,27-09-2022,26-06-2023,United Kingdom,28,Female,Laptop,1 Month
Premium,13,14-12-2022,25-06-2023,Australia,41,Female,Smartphone,1 Month
Basic,13,28-05-2022,26-06-2023,Germany,28,Female,Laptop,1 Month
Basic,13,29-12-2021,26-06-2023,France,51,Female,Laptop,1 Month
Premium,15,25-12-2022,23-06-2023,Brazil,45,Female,Smartphone,1 Month
Standard,15,18-11-2022,28-06-2023,Mexico,49,Male,Tablet,1 Month
Standard,15,03-12-2022,25-06-2023,Spain,43,Female,Laptop,1 Month
Basic,12,08-11-2022,22-06-2023,Italy,43,Male,Tablet,1 Month
Premium,10,11-01-2023,24-06-2023,United States,37,Male,Tablet,1 Month
Standard,12,07-12-2022,28-06-2023,Canada,35,Male,Laptop,1 Month
Basic,10,20-10-2022,26-06-2023,United Kingdom,46,Female,Smartphone,1 Month
Standard,12,13-04-2023,25-06-2023,Australia,32,Male,Smartphone,1 Month
Premium,10,06-04-2023,27-06-2023,Germany,37,Female,Laptop,1 Month
Basic,11,04-03-2022,25-06-2023,France,29,Female,Smartphone,1 Month
Premium,15,28-12-2021,23-06-2023,Brazil,45,Male,Smart TV,1 Month
Standard,12,27-09-2022,28-06-2023,Mexico,47,Male,Tablet,1 Month
Basic,15,20-10-2022,26-06-2023,Spain,39,Male,Smartphone,1 Month
Standard,13,03-02-2023,23-06-2023,Italy,49,Female,Smartphone,1 Month
Premium,11,03-10-2022,23-06-2023,United States,39,Male,Tablet,1 Month
Basic,14,05-01-2022,28-06-2023,Canada,39,Male,Smart TV,1 Month
Standard,12,05-02-2022,26-06-2023,United Kingdom,35,Male,Smartphone,1 Month
Premium,12,19-03-2022,25-06-2023,Australia,44,Male,Smartphone,1 Month
Basic,11,28-02-2022,25-06-2023,Germany,34,Male,Laptop,1 Month
Premium,14,26-07-2022,24-06-2023,France,32,Male,Laptop,1 Month
Basic,10,05-03-2022,24-06-2023,Brazil,29,Female,Tablet,1 Month
Standard,13,07-03-2022,28-06-2023,Mexico,31,Female,Tablet,1 Month
Standard,12,13-01-2023,24-06-2023,Spain,29,Female,Tablet,1 Month
Basic,12,22-01-2023,25-06-2023,Italy,35,Male,Laptop,1 Month
Premium,11,17-10-2022,24-06-2023,United States,46,Female,Tablet,1 Month
Basic,12,29-03-2022,28-06-2023,Canada,31,Male,Tablet,1 Month
Standard,13,04-04-2022,26-06-2023,United Kingdom,36,Male,Laptop,1 Month
Premium,10,08-06-2022,25-06-2023,Australia,38,Male,Laptop,1 Month
Basic,11,04-03-2022,27-06-2023,Germany,46,Female,Laptop,1 Month
Premium,10,18-03-2022,24-06-2023,France,49,Female,Tablet,1 Month
Basic,14,07-03-2022,24-06-2023,Brazil,29,Female,Smart TV,1 Month
Standard,12,24-05-2022,25-06-2023,Mexico,27,Female,Smart TV,1 Month
Standard,13,08-02-2023,25-06-2023,Spain,35,Female,Tablet,1 Month
Basic,13,26-01-2023,24-06-2023,Italy,37,Female,Laptop,1 Month
Premium,14,14-07-2022,27-06-2023,United States,40,Male,Tablet,1 Month
Basic,10,01-06-2022,28-06-2023,Canada,33,Female,Laptop,1 Month
Standard,15,07-05-2022,26-06-2023,United Kingdom,37,Male,Tablet,1 Month
Premium,10,18-11-2022,25-06-2023,Australia,48,Male,Smartphone,1 Month
Basic,11,05-04-2022,25-06-2023,Germany,50,Female,Laptop,1 Month
Premium,14,19-05-2022,23-06-2023,France,45,Female,Smart TV,1 Month
Basic,15,30-10-2021,23-06-2023,Brazil,40,Female,Tablet,1 Month
Standard,12,07-08-2022,27-06-2023,Mexico,33,Male,Smartphone,1 Month
Standard,11,20-09-2022,25-06-2023,Spain,44,Female,Smartphone,1 Month
Basic,10,18-10-2022,25-06-2023,Italy,30,Female,Smart TV,1 Month
Premium,15,03-10-2022,24-06-2023,United States,27,Male,Smart TV,1 Month
Basic,11,03-05-2022,28-06-2023,Canada,51,Male,Smart TV,1 Month
Standard,13,25-05-2022,26-06-2023,United Kingdom,49,Female,Smartphone,1 Month
Premium,15,05-11-2022,25-06-2023,Australia,43,Male,Laptop,1 Month
Basic,12,21-08-2022,24-06-2023,Germany,42,Male,Smartphone,1 Month
Premium,13,21-09-2022,23-06-2023,France,45,Male,Laptop,1 Month
Basic,10,23-11-2021,23-06-2023,Brazil,36,Male,Smartphone,1 Month
Standard,12,06-10-2022,27-06-2023,Mexico,48,Male,Smartphone,1 Month
Standard,13,05-11-2022,23-06-2023,Spain,38,Male,Smart TV,1 Month
Basic,14,07-01-2023,23-06-2023,Italy,43,Female,Tablet,1 Month
Premium,15,06-10-2022,23-06-2023,United States,47,Male,Laptop,1 Month
Basic,15,24-06-2022,28-06-2023,Canada,48,Female,Smart TV,1 Month
Standard,13,24-06-2022,26-06-2023,United Kingdom,47,Male,Smart TV,1 Month
Premium,15,05-11-2022,25-06-2023,Australia,32,Male,Tablet,1 Month
Basic,13,18-07-2022,26-06-2023,Germany,47,Female,Smart TV,1 Month
Premium,12,13-09-2022,26-06-2023,France,41,Female,Smart TV,1 Month
Basic,12,10-08-2022,22-06-2023,Brazil,49,Male,Laptop,1 Month
Standard,15,21-09-2022,23-06-2023,Mexico,28,Male,Laptop,1 Month
Standard,13,24-03-2023,23-06-2023,Spain,40,Male,Smartphone,1 Month
Basic,12,02-05-2022,23-06-2023,Italy,43,Female,Smartphone,1 Month
Premium,12,11-05-2022,27-06-2023,United States,42,Male,Smartphone,1 Month
Basic,14,10-06-2022,22-06-2023,Canada,28,Male,Smart TV,1 Month
Standard,14,31-08-2022,24-06-2023,United Kingdom,30,Female,Tablet,1 Month
Premium,10,17-08-2022,26-06-2023,Australia,33,Male,Smart TV,1 Month
Basic,11,05-05-2022,26-06-2023,Germany,35,Female,Laptop,1 Month
Basic,10,06-10-2022,25-06-2023,France,38,Male,Tablet,1 Month
Basic,12,08-11-2022,24-06-2023,Brazil,49,Female,Laptop,1 Month
Standard,15,27-11-2022,28-06-2023,Mexico,39,Female,Smartphone,1 Month
Premium,13,17-11-2022,27-06-2023,Spain,46,Female,Smart TV,1 Month
Basic,10,15-12-2022,23-06-2023,Italy,47,Female,Laptop,1 Month
Basic,15,12-12-2022,25-06-2023,United States,30,Female,Laptop,1 Month
Premium,14,23-11-2022,27-06-2023,Canada,33,Female,Tablet,1 Month
Standard,11,25-12-2022,24-06-2023,United Kingdom,47,Male,Smartphone,1 Month
Standard,11,11-03-2023,27-06-2023,Australia,27,Male,Laptop,1 Month
Basic,14,18-11-2022,27-06-2023,Germany,28,Male,Tablet,1 Month
Premium,15,19-08-2022,25-06-2023,France,47,Male,Smartphone,1 Month
Standard,14,27-09-2022,24-06-2023,Brazil,30,Male,Laptop,1 Month
Basic,13,19-10-2022,28-06-2023,Mexico,47,Female,Smartphone,1 Month
Standard,10,21-12-2022,26-06-2023,Spain,51,Female,Smart TV,1 Month
Premium,15,27-10-2022,25-06-2023,Italy,39,Male,Smartphone,1 Month
Basic,10,23-10-2022,24-06-2023,United States,45,Male,Tablet,1 Month
Premium,15,19-04-2022,25-06-2023,Canada,31,Male,Laptop,1 Month
Standard,11,05-04-2022,26-06-2023,United Kingdom,29,Male,Laptop,1 Month
Basic,11,11-03-2022,26-06-2023,Australia,42,Female,Tablet,1 Month
Standard,14,25-05-2022,25-06-2023,Germany,49,Male,Tablet,1 Month
Premium,13,16-04-2022,26-06-2023,France,42,Male,Laptop,1 Month
Basic,13,07-04-2022,24-06-2023,Brazil,29,Male,Smartphone,1 Month
Standard,10,11-12-2022,28-06-2023,Mexico,29,Male,Tablet,1 Month
Premium,12,20-01-2023,26-06-2023,Spain,49,Male,Tablet,1 Month
Basic,14,12-01-2023,25-06-2023,Italy,32,Male,Laptop,1 Month
Premium,11,29-04-2022,24-06-2023,United States,35,Female,Tablet,1 Month
Basic,12,27-04-2022,26-06-2023,Canada,39,Female,Smartphone,1 Month
Standard,15,03-06-2022,25-06-2023,United Kingdom,40,Male,Smartphone,1 Month
Standard,14,23-04-2022,25-06-2023,Australia,39,Female,Tablet,1 Month
Basic,10,22-04-2022,26-06-2023,Germany,47,Female,Laptop,1 Month
Premium,13,12-04-2022,25-06-2023,France,37,Female,Smart TV,1 Month
Basic,15,23-05-2022,26-06-2023,Brazil,27,Female,Smartphone,1 Month
Standard,13,19-10-2022,26-06-2023,Mexico,49,Female,Laptop,1 Month
Premium,10,03-12-2022,26-06-2023,Spain,30,Female,Tablet,1 Month
Basic,14,26-09-2022,25-06-2023,Italy,36,Male,Laptop,1 Month
Premium,15,16-06-2022,27-06-2023,United States,33,Male,Smartphone,1 Month
Basic,13,16-05-2022,25-06-2023,Canada,30,Female,Laptop,1 Month
Standard,15,26-05-2022,26-06-2023,United Kingdom,36,Female,Tablet,1 Month
Standard,13,26-04-2022,25-06-2023,Australia,28,Female,Laptop,1 Month
Basic,11,12-05-2022,25-06-2023,Germany,47,Female,Tablet,1 Month
Premium,12,01-03-2022,25-06-2023,France,33,Female,Smart TV,1 Month
Basic,13,10-07-2022,24-06-2023,Brazil,49,Female,Laptop,1 Month
Standard,15,16-07-2022,27-06-2023,Mexico,44,Female,Smart TV,1 Month
Premium,13,02-09-2022,26-06-2023,Spain,47,Male,Smart TV,1 Month
Basic,11,18-09-2022,26-06-2023,Italy,37,Female,Tablet,1 Month
Premium,10,08-07-2022,25-06-2023,United States,46,Male,Laptop,1 Month
Basic,14,26-06-2022,27-06-2023,Canada,50,Female,Smartphone,1 Month
Standard,11,05-08-2022,25-06-2023,United Kingdom,50,Male,Laptop,1 Month
Standard,14,19-08-2022,27-06-2023,Australia,37,Male,Laptop,1 Month
Basic,11,26-08-2022,24-06-2023,Germany,50,Female,Smartphone,1 Month
Premium,13,09-06-2022,24-06-2023,France,45,Female,Smart TV,1 Month
Basic,14,27-09-2022,23-06-2023,Brazil,45,Male,Tablet,1 Month
Standard,10,18-10-2022,27-06-2023,Mexico,49,Female,Laptop,1 Month
Premium,14,31-10-2022,25-06-2023,Spain,39,Female,Tablet,1 Month
Basic,11,13-10-2022,25-06-2023,Italy,45,Female,Tablet,1 Month
Premium,11,04-07-2022,27-06-2023,United States,49,Female,Smart TV,1 Month
Basic,12,26-06-2022,27-06-2023,Canada,31,Female,Tablet,1 Month
Standard,13,31-07-2022,24-06-2023,United Kingdom,42,Female,Smart TV,1 Month
Standard,12,27-07-2022,24-06-2023,Australia,37,Male,Smartphone,1 Month
Basic,12,30-07-2022,25-06-2023,Germany,30,Male,Smart TV,1 Month
Premium,11,06-08-2022,25-06-2023,France,40,Male,Smartphone,1 Month
Basic,15,16-09-2022,24-06-2023,Brazil,45,Female,Smartphone,1 Month
Standard,15,05-01-2023,23-06-2023,Mexico,36,Female,Tablet,1 Month
Premium,11,10-12-2022,24-06-2023,Spain,41,Male,Laptop,1 Month
Basic,14,22-11-2022,26-06-2023,Italy,49,Female,Laptop,1 Month
Premium,15,15-11-2022,27-06-2023,United States,40,Male,Tablet,1 Month
Basic,11,28-10-2022,26-06-2023,Canada,36,Male,Smart TV,1 Month
Standard,12,08-09-2022,24-06-2023,United Kingdom,49,Female,Smart TV,1 Month
Standard,13,30-06-2022,28-06-2023,Australia,43,Female,Laptop,1 Month
Basic,13,02-09-2022,27-06-2023,Germany,50,Female,Smartphone,1 Month
Premium,14,08-10-2022,24-06-2023,France,51,Female,Smart TV,1 Month
Basic,15,13-11-2022,25-06-2023,Brazil,44,Male,Smart TV,1 Month
Standard,12,15-11-2022,28-06-2023,Mexico,27,Male,Tablet,1 Month
Premium,12,16-11-2022,25-06-2023,Spain,46,Female,Smartphone,1 Month
Basic,12,26-11-2022,27-06-2023,Italy,29,Male,Tablet,1 Month
Basic,12,26-11-2022,25-06-2023,United States,47,Male,Smartphone,1 Month
Basic,10,12-12-2022,26-06-2023,Canada,48,Female,Smartphone,1 Month
Standard,12,08-01-2023,25-06-2023,United Kingdom,34,Female,Smartphone,1 Month
Premium,15,27-11-2022,29-06-2023,Australia,40,Female,Smartphone,1 Month
Basic,14,11-10-2022,27-06-2023,Germany,48,Female,Smartphone,1 Month
Basic,10,27-09-2022,26-06-2023,France,35,Male,Smartphone,1 Month
Premium,12,30-09-2022,24-06-2023,Brazil,51,Female,Smartphone,1 Month
Standard,10,04-11-2022,27-06-2023,Mexico,39,Male,Smart TV,1 Month
Standard,13,04-11-2022,27-06-2023,Spain,29,Male,Smartphone,1 Month
Basic,12,30-10-2022,26-06-2023,Italy,51,Male,Laptop,1 Month
Premium,11,29-10-2022,24-06-2023,United States,43,Male,Smartphone,1 Month
Standard,11,30-08-2022,27-06-2023,Canada,28,Male,Smartphone,1 Month
Basic,15,07-07-2022,26-06-2023,United Kingdom,50,Female,Smart TV,1 Month
Standard,14,26-05-2022,27-06-2023,Australia,44,Female,Laptop,1 Month
Premium,11,17-05-2022,25-06-2023,Germany,50,Male,Laptop,1 Month
Basic,11,08-05-2022,26-06-2023,France,39,Female,Smartphone,1 Month
Premium,13,07-07-2022,25-06-2023,Brazil,46,Female,Tablet,1 Month
Standard,15,17-07-2022,28-06-2023,Mexico,48,Male,Smartphone,1 Month
Basic,15,23-12-2022,26-06-2023,Spain,38,Male,Smart TV,1 Month
Standard,13,27-06-2022,26-06-2023,Italy,38,Male,Smartphone,1 Month
Premium,13,31-05-2022,27-06-2023,United States,47,Male,Laptop,1 Month
Basic,12,02-06-2022,26-06-2023,Canada,37,Male,Laptop,1 Month
Standard,11,25-05-2022,27-06-2023,United Kingdom,33,Male,Laptop,1 Month
Premium,15,26-04-2022,26-06-2023,Australia,28,Male,Smartphone,1 Month
Basic,13,20-04-2022,26-06-2023,Germany,47,Male,Smart TV,1 Month
Premium,11,03-05-2022,25-06-2023,France,38,Female,Smartphone,1 Month
Basic,12,07-07-2022,27-06-2023,Brazil,27,Male,Smart TV,1 Month
Standard,13,15-09-2022,26-06-2023,Mexico,34,Male,Smartphone,1 Month
Standard,14,16-09-2022,27-06-2023,Spain,42,Female,Smartphone,1 Month
Basic,14,09-08-2022,26-06-2023,Italy,28,Male,Laptop,1 Month
Premium,15,25-06-2022,27-06-2023,United States,30,Male,Laptop,1 Month
Basic,11,30-05-2022,26-06-2023,Canada,38,Female,Smartphone,1 Month
Standard,15,21-05-2022,25-06-2023,United Kingdom,45,Female,Tablet,1 Month
Premium,12,20-05-2022,27-06-2023,Australia,48,Female,Smart TV,1 Month
Basic,13,20-05-2022,26-06-2023,Germany,46,Female,Smart TV,1 Month
Premium,12,30-05-2022,26-06-2023,France,34,Male,Tablet,1 Month
Basic,13,17-06-2022,25-06-2023,Brazil,46,Male,Laptop,1 Month
Standard,11,16-07-2022,28-06-2023,Mexico,41,Female,Smartphone,1 Month
Standard,15,05-08-2022,26-06-2023,Spain,28,Male,Smartphone,1 Month
Basic,10,17-07-2022,26-06-2023,Italy,27,Female,Smartphone,1 Month
Premium,13,04-07-2022,25-06-2023,United States,27,Female,Smart TV,1 Month
Basic,12,13-07-2022,26-06-2023,Canada,28,Female,Tablet,1 Month
Standard,15,25-07-2022,24-06-2023,United Kingdom,46,Male,Smartphone,1 Month
Premium,10,09-08-2022,27-06-2023,Australia,51,Male,Smartphone,1 Month
Basic,11,05-08-2022,25-06-2023,Germany,32,Female,Smart TV,1 Month
Premium,10,17-08-2022,26-06-2023,France,44,Male,Tablet,1 Month
Basic,11,08-09-2022,27-06-2023,Brazil,44,Female,Laptop,1 Month
Standard,13,16-10-2022,28-06-2023,Mexico,34,Female,Smart TV,1 Month
Standard,13,15-10-2022,25-06-2023,Spain,29,Female,Laptop,1 Month
Basic,12,04-09-2022,25-06-2023,Italy,47,Male,Smart TV,1 Month
Premium,14,20-08-2022,26-06-2023,United States,41,Male,Laptop,1 Month
Basic,10,10-08-2022,26-06-2023,Canada,36,Female,Smartphone,1 Month
Standard,12,02-08-2022,25-06-2023,United Kingdom,28,Female,Laptop,1 Month
Premium,10,01-08-2022,24-06-2023,Australia,27,Female,Tablet,1 Month
Basic,15,06-08-2022,25-06-2023,Germany,34,Female,Laptop,1 Month
Premium,14,09-08-2022,25-06-2023,France,34,Female,Smart TV,1 Month
Basic,13,12-09-2022,26-06-2023,Brazil,37,Female,Tablet,1 Month
Standard,14,27-09-2022,26-06-2023,Mexico,34,Female,Laptop,1 Month
Standard,15,12-11-2022,24-06-2023,Spain,50,Female,Laptop,1 Month
Basic,12,13-11-2022,27-06-2023,Italy,34,Female,Laptop,1 Month
Premium,12,02-11-2022,28-06-2023,United States,33,Female,Smart TV,1 Month
Basic,11,30-10-2022,25-06-2023,Canada,33,Male,Smart TV,1 Month
Standard,15,30-06-2022,26-06-2023,United Kingdom,46,Male,Smartphone,1 Month
Premium,14,04-08-2022,28-06-2023,Australia,39,Female,Smartphone,1 Month
Basic,10,01-09-2022,27-06-2023,Germany,42,Female,Laptop,1 Month
Premium,14,14-10-2022,27-06-2023,France,50,Female,Laptop,1 Month
Basic,10,16-10-2022,26-06-2023,Brazil,43,Male,Smartphone,1 Month
Standard,14,20-10-2022,28-06-2023,Mexico,51,Male,Smart TV,1 Month
Standard,15,20-11-2022,25-06-2023,Spain,34,Female,Smart TV,1 Month
Basic,12,25-11-2022,30-06-2023,Italy,48,Male,Smartphone,1 Month
Premium,13,04-12-2022,27-06-2023,United States,29,Female,Tablet,1 Month
Basic,11,12-12-2022,27-06-2023,Canada,43,Female,Laptop,1 Month
Standard,14,09-12-2022,25-06-2023,United Kingdom,39,Female,Laptop,1 Month
Premium,10,15-10-2022,29-06-2023,Australia,50,Male,Laptop,1 Month
Basic,14,03-10-2022,27-06-2023,Germany,45,Male,Laptop,1 Month
Basic,12,01-10-2022,27-06-2023,France,48,Female,Tablet,1 Month
Basic,13,02-11-2022,24-06-2023,Brazil,40,Male,Smartphone,1 Month
Standard,14,03-11-2022,27-06-2023,Mexico,41,Male,Tablet,1 Month
Premium,10,30-10-2022,27-06-2023,Spain,27,Male,Smartphone,1 Month
Basic,11,30-10-2022,28-06-2023,Italy,36,Male,Laptop,1 Month
Basic,10,27-09-2022,24-06-2023,United States,36,Female,Laptop,1 Month
Premium,11,14-09-2022,27-06-2023,Canada,44,Male,Tablet,1 Month
Standard,12,11-06-2022,26-06-2023,United Kingdom,45,Male,Tablet,1 Month
Standard,12,11-06-2022,29-06-2023,Australia,33,Female,Smartphone,1 Month
Basic,13,24-05-2022,26-06-2023,Germany,47,Male,Smart TV,1 Month
Premium,13,06-07-2022,27-06-2023,France,45,Male,Tablet,1 Month
Standard,11,08-07-2022,28-06-2023,Brazil,29,Female,Smart TV,1 Month
Basic,13,27-10-2022,27-06-2023,Mexico,31,Male,Smart TV,1 Month
Standard,11,09-08-2022,28-06-2023,Spain,31,Male,Smartphone,1 Month
Premium,15,14-06-2022,26-06-2023,Italy,49,Female,Smartphone,1 Month
Basic,15,07-06-2022,27-06-2023,United States,29,Female,Smartphone,1 Month
Premium,12,27-05-2022,26-06-2023,Canada,50,Male,Laptop,1 Month
Standard,13,27-05-2022,27-06-2023,United Kingdom,36,Female,Laptop,1 Month
Basic,10,21-04-2022,26-06-2023,Australia,28,Male,Laptop,1 Month
Standard,15,28-04-2022,27-06-2023,Germany,47,Female,Smart TV,1 Month
Premium,12,27-05-2022,25-06-2023,France,50,Female,Laptop,1 Month
Basic,15,25-08-2022,28-06-2023,Brazil,44,Female,Tablet,1 Month
Standard,10,02-09-2022,27-06-2023,Mexico,39,Female,Laptop,1 Month
Premium,14,22-08-2022,26-06-2023,Spain,32,Female,Smartphone,1 Month
Basic,15,02-08-2022,27-06-2023,Italy,30,Female,Laptop,1 Month
Premium,12,22-06-2022,27-06-2023,United States,33,Female,Smartphone,1 Month
Basic,15,04-06-2022,27-06-2023,Canada,44,Male,Smartphone,1 Month
Standard,14,31-05-2022,26-06-2023,United Kingdom,40,Male,Smartphone,1 Month
Standard,15,22-05-2022,27-06-2023,Australia,32,Male,Tablet,1 Month
Basic,13,29-05-2022,27-06-2023,Germany,32,Male,Tablet,1 Month
Premium,11,11-06-2022,27-06-2023,France,30,Male,Smartphone,1 Month
Basic,12,06-07-2022,26-06-2023,Brazil,32,Female,Smartphone,1 Month
Standard,12,26-07-2022,27-06-2023,Mexico,45,Female,Tablet,1 Month
Premium,11,22-07-2022,25-06-2023,Spain,35,Female,Smart TV,1 Month
Basic,10,06-07-2022,26-06-2023,Italy,40,Female,Smart TV,1 Month
Premium,14,08-07-2022,26-06-2023,United States,29,Female,Tablet,1 Month
Basic,14,22-07-2022,26-06-2023,Canada,31,Male,Tablet,1 Month
Standard,15,24-07-2022,27-06-2023,United Kingdom,43,Female,Smart TV,1 Month
Standard,11,28-07-2022,28-06-2023,Australia,34,Male,Smart TV,1 Month
Basic,10,11-08-2022,25-06-2023,Germany,47,Female,Tablet,1 Month
Premium,12,02-09-2022,26-06-2023,France,35,Male,Laptop,1 Month
Basic,13,11-10-2022,27-06-2023,Brazil,36,Male,Laptop,1 Month
Standard,12,15-10-2022,27-06-2023,Mexico,33,Male,Tablet,1 Month
Premium,13,05-10-2022,25-06-2023,Spain,30,Female,Laptop,1 Month
Basic,14,13-09-2022,25-06-2023,Italy,44,Female,Smartphone,1 Month
Premium,13,24-08-2022,26-06-2023,United States,44,Female,Laptop,1 Month
Basic,11,09-08-2022,26-06-2023,Canada,41,Female,Laptop,1 Month
Standard,13,06-08-2022,25-06-2023,United Kingdom,46,Male,Smart TV,1 Month
Standard,13,07-08-2022,26-06-2023,Australia,42,Female,Smartphone,1 Month
Basic,10,08-08-2022,25-06-2023,Germany,48,Female,Smart TV,1 Month
Premium,15,31-08-2022,26-06-2023,France,37,Male,Tablet,1 Month
Basic,14,21-09-2022,28-06-2023,Brazil,29,Male,Smartphone,1 Month
Standard,14,05-10-2022,26-06-2023,Mexico,30,Male,Smart TV,1 Month
Premium,14,02-11-2022,26-06-2023,Spain,28,Male,Smartphone,1 Month
Basic,10,02-11-2022,28-06-2023,Italy,44,Female,Smartphone,1 Month
